case,family,mechanism,param_key,param_value,flag,trade_id,cum_pnl_horizon_inr,delta_vs_base_inr,pnl_inr_t,label
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T07,-418562.1879,-1860396.3161,-221.4615,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T08,-9294227.214,0.0,-5532.2781,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T09,8999659.5227,-1048790.7386,7499.7163,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,BOOK,185544138.0021,-9323720.3853,12929.9051,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T01,67889784.2888,3605959.8559,26940.3906,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T03,30539601.5255,1452195.838,25449.6679,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T04,8182269.458,1699682.3783,6493.8646,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T06,10647251.304,2028157.0426,8190.1933,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T07,4273445.8336,2831611.7055,2261.0825,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T08,-9294227.214,0.0,-5532.2781,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,T09,12098844.1532,2050393.8918,10082.3701,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,BOOK,208535859.0996,13668000.7121,14532.1156,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T01,-28927186.2172,-93211010.6501,-11479.0421,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T02,14859326.3995,-35687605.0485,12382.772,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T03,-7601655.6938,-36689061.3813,-6334.7131,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T04,-20375271.2971,-26857858.3768,-16170.8502,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T05,37077299.9266,3425341.6241,17655.8571,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T06,4527855.1116,-4091239.1499,3482.9655,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T07,27489038.5602,26047204.432,14544.4648,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T08,36801245.6528,46095472.8668,21905.5034,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,T09,18858363.6531,8809913.3918,15715.303,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,BOOK,82709016.0956,-112158842.2918,5763.6945,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T01,64283824.4329,0.0,25509.4541,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T03,29087405.6875,0.0,24239.5047,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T04,6482587.0796,0.0,5144.9104,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T06,8619094.2615,0.0,6630.0725,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T07,1441834.1281,0.0,762.8752,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T08,-9294227.214,0.0,-5532.2781,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,T09,10048450.2613,0.0,8373.7086,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,BOOK,194867858.3874,0.0,13579.6417,SENSITIVITY — not base P&L
